scenario_code,scenario_name_cn,route_group,fee_key,fee_code,fee_name_cn,charge_basis,amount_reference_usd,applies,allocated_usd_per_feu,trigger_condition,stacking_rule,data_layer,exclude_reason
BASE_USEC,美东基础场景,USEC,THC,THC,码头操作费,FEU_equiv,205.0,True,205.0,terminal_handling_reference,additive_if_not_included_in_quote,C_market_reference,
BASE_USEC,美东基础场景,USEC,CONGESTION,港口拥堵附加费,,FEU,150.0,False,0.0,port_congestion_flag=true,conditional_additive,C_market_reference,
BASE_USEC,美东基础场景,USEC,EBS,EBS,紧急燃油附加费,FEU,125.0,False,0.0,emergency_bunker_flag=true,conditional_additive_review_with_BAF,C_market_reference,
BASE_USEC,美东基础场景,USEC,GRI,GRI,综合费率上涨附加费,rate_adjustment,600.0,False,0.0,rate_increase_announcement; may be reflected in base freight,not_surcharge_default,C_market_reference,treated_as_rate_adjustment_not_default_surcharge
BASE_USEC,美东基础场景,USEC,CIC,CIC,集装箱不平衡附加费,FEU,225.0,False,0.0,equipment_imbalance_flag=true,conditional_additive,C_market_reference,
BASE_USEC,美东基础场景,USEC,WRS,WRS,战争风险附加费,FEU,125.0,False,0.0,war_risk_region_flag=true,conditional_additive,C_market_reference,
BASE_USEC,美东基础场景,USEC,PCS,PCS,巴拿马运河附加费,FEU,275.0,False,0.0,panama_path_flag=true,conditional_additive,C_market_reference,
BASE_USEC,美东基础场景,USEC,LSS,LSS,低硫燃油附加费,included,,False,0.0,already_included_or_manual_confirm,included,C_market_reference,included_in_BAF_or_requires_manual_confirmation
BASE_USEC,美东基础场景,USEC,DOC,DOC,文件费,shipment,55.0,True,55.0,per_shipment_documentation,allocate_to_feu_by_shipment_container_count,C_market_reference,
BASE_USEC,美东基础场景,USEC,SEAL,SEAL,封条费,container,11.5,True,11.5,per_container_seal,allocate_to_feu_by_container_count,C_market_reference,
BASE_USEC,美东基础场景,USEC,AMS_ENS,AMS/ENS,申报费,shipment,42.5,True,42.5,customs_manifest_by_lane,allocate_to_feu_by_shipment_container_count,C_market_reference,
BASE_USEC,美东基础场景,USEC,EIR,设备交接单费,,container,22.5,True,22.5,equipment_interchange_reference,allocate_to_feu_by_container_count,C_market_reference,
STRESS_USWC,美西压力场景,USWC,BAF,BAF,燃油附加费,FEU,500.0,True,500.0,standard_fuel_surcharge,additive,C_market_reference,
STRESS_USWC,美西压力场景,USWC,PSS,PSS,旺季附加费,FEU,650.0,True,650.0,peak_season_flag=true,conditional_additive,C_market_reference,
STRESS_USWC,美西压力场景,USWC,THC,THC,码头操作费,FEU_equiv,205.0,True,205.0,terminal_handling_reference,additive_if_not_included_in_quote,C_market_reference,
STRESS_USWC,美西压力场景,USWC,CONGESTION,港口拥堵附加费,,FEU,150.0,True,150.0,port_congestion_flag=true,conditional_additive,C_market_reference,
STRESS_USWC,美西压力场景,USWC,EBS,EBS,紧急燃油附加费,FEU,125.0,True,125.0,emergency_bunker_flag=true,conditional_additive_review_with_BAF,C_market_reference,
STRESS_USWC,美西压力场景,USWC,GRI,GRI,综合费率上涨附加费,rate_adjustment,600.0,False,0.0,rate_increase_announcement; may be reflected in base freight,not_surcharge_default,C_market_reference,treated_as_rate_adjustment_not_default_surcharge
STRESS_USWC,美西压力场景,USWC,CIC,CIC,集装箱不平衡附加费,FEU,225.0,True,225.0,equipment_imbalance_flag=true,conditional_additive,C_market_reference,
STRESS_USWC,美西压力场景,USWC,WRS,WRS,战争风险附加费,FEU,125.0,True,125.0,war_risk_region_flag=true,conditional_additive,C_market_reference,
STRESS_USWC,美西压力场景,USWC,PCS,PCS,巴拿马运河附加费,FEU,275.0,False,0.0,panama_path_flag=true,conditional_additive,C_market_reference,
STRESS_USWC,美西压力场景,USWC,LSS,LSS,低硫燃油附加费,included,,False,0.0,already_included_or_manual_confirm,included,C_market_reference,included_in_BAF_or_requires_manual_confirmation
STRESS_USWC,美西压力场景,USWC,DOC,DOC,文件费,shipment,55.0,True,55.0,per_shipment_documentation,allocate_to_feu_by_shipment_container_count,C_market_reference,
STRESS_USWC,美西压力场景,USWC,SEAL,SEAL,封条费,container,11.5,True,11.5,per_container_seal,allocate_to_feu_by_container_count,C_market_reference,
STRESS_USWC,美西压力场景,USWC,AMS_ENS,AMS/ENS,申报费,shipment,42.5,True,42.5,customs_manifest_by_lane,allocate_to_feu_by_shipment_container_count,C_market_reference,
STRESS_USWC,美西压力场景,USWC,EIR,设备交接单费,,container,22.5,True,22.5,equipment_interchange_reference,allocate_to_feu_by_container_count,C_market_reference,
STRESS_USEC,美东压力场景,USEC,BAF,BAF,燃油附加费,FEU,500.0,True,500.0,standard_fuel_surcharge,additive,C_market_reference,
STRESS_USEC,美东压力场景,USEC,PSS,PSS,旺季附加费,FEU,650.0,True,650.0,peak_season_flag=true,conditional_additive,C_market_reference,
STRESS_USEC,美东压力场景,USEC,THC,THC,码头操作费,FEU_equiv,205.0,True,205.0,terminal_handling_reference,additive_if_not_included_in_quote,C_market_reference,
STRESS_USEC,美东压力场景,USEC,CONGESTION,港口拥堵附加费,,FEU,150.0,True,150.0,port_congestion_flag=true,conditional_additive,C_market_reference,
STRESS_USEC,美东压力场景,USEC,EBS,EBS,紧急燃油附加费,FEU,125.0,True,125.0,emergency_bunker_flag=true,conditional_additive_review_with_BAF,C_market_reference,
STRESS_USEC,美东压力场景,USEC,GRI,GRI,综合费率上涨附加费,rate_adjustment,600.0,False,0.0,rate_increase_announcement; may be reflected in base freight,not_surcharge_default,C_market_reference,treated_as_rate_adjustment_not_default_surcharge
STRESS_USEC,美东压力场景,USEC,CIC,CIC,集装箱不平衡附加费,FEU,225.0,True,225.0,equipment_imbalance_flag=true,conditional_additive,C_market_reference,
STRESS_USEC,美东压力场景,USEC,WRS,WRS,战争风险附加费,FEU,125.0,True,125.0,war_risk_region_flag=true,conditional_additive,C_market_reference,
STRESS_USEC,美东压力场景,USEC,PCS,PCS,巴拿马运河附加费,FEU,275.0,False,0.0,panama_path_flag=true,conditional_additive,C_market_reference,
STRESS_USEC,美东压力场景,USEC,LSS,LSS,低硫燃油附加费,included,,False,0.0,already_included_or_manual_confirm,included,C_market_reference,included_in_BAF_or_requires_manual_confirmation
STRESS_USEC,美东压力场景,USEC,DOC,DOC,文件费,shipment,55.0,True,55.0,per_shipment_documentation,allocate_to_feu_by_shipment_container_count,C_market_reference,
STRESS_USEC,美东压力场景,USEC,SEAL,SEAL,封条费,container,11.5,True,11.5,per_container_seal,allocate_to_feu_by_container_count,C_market_reference,
STRESS_USEC,美东压力场景,USEC,AMS_ENS,AMS/ENS,申报费,shipment,42.5,True,42.5,customs_manifest_by_lane,allocate_to_feu_by_shipment_container_count,C_market_reference,
STRESS_USEC,美东压力场景,USEC,EIR,设备交接单费,,container,22.5,True,22.5,equipment_interchange_reference,allocate_to_feu_by_container_count,C_market_reference,
USEC_PANAMA_STRESS,美东巴拿马压力场景,USEC,BAF,BAF,燃油附加费,FEU,500.0,True,500.0,standard_fuel_surcharge,additive,C_market_reference,
USEC_PANAMA_STRESS,美东巴拿马压力场景,USEC,PSS,PSS,旺季附加费,FEU,650.0,True,650.0,peak_season_flag=true,conditional_additive,C_market_reference,
USEC_PANAMA_STRESS,美东巴拿马压力场景,USEC,THC,THC,码头操作费,FEU_equiv,205.0,True,205.0,terminal_handling_reference,additive_if_not_included_in_quote,C_market_reference,
USEC_PANAMA_STRESS,美东巴拿马压力场景,USEC,CONGESTION,港口拥堵附加费,,FEU,150.0,True,150.0,port_congestion_flag=true,conditional_additive,C_market_reference,
USEC_PANAMA_STRESS,美东巴拿马压力场景,USEC,EBS,EBS,紧急燃油附加费,FEU,125.0,True,125.0,emergency_bunker_flag=true,conditional_additive_review_with_BAF,C_market_reference,
USEC_PANAMA_STRESS,美东巴拿马压力场景,USEC,GRI,GRI,综合费率上涨附加费,rate_adjustment,600.0,False,0.0,rate_increase_announcement; may be reflected in base freight,not_surcharge_default,C_market_reference,treated_as_rate_adjustment_not_default_surcharge
USEC_PANAMA_STRESS,美东巴拿马压力场景,USEC,CIC,CIC,集装箱不平衡附加费,FEU,225.0,True,225.0,equipment_imbalance_flag=true,conditional_additive,C_market_reference,
USEC_PANAMA_STRESS,美东巴拿马压力场景,USEC,WRS,WRS,战争风险附加费,FEU,125.0,True,125.0,war_risk_region_flag=true,conditional_additive,C_market_reference,
USEC_PANAMA_STRESS,美东巴拿马压力场景,USEC,PCS,PCS,巴拿马运河附加费,FEU,275.0,True,275.0,panama_path_flag=true,conditional_additive,C_market_reference,
USEC_PANAMA_STRESS,美东巴拿马压力场景,USEC,LSS,LSS,低硫燃油附加费,included,,False,0.0,already_included_or_manual_confirm,included,C_market_reference,included_in_BAF_or_requires_manual_confirmation
USEC_PANAMA_STRESS,美东巴拿马压力场景,USEC,DOC,DOC,文件费,shipment,55.0,True,55.0,per_shipment_documentation,allocate_to_feu_by_shipment_container_count,C_market_reference,
USEC_PANAMA_STRESS,美东巴拿马压力场景,USEC,SEAL,SEAL,封条费,container,11.5,True,11.5,per_container_seal,allocate_to_feu_by_container_count,C_market_reference,
USEC_PANAMA_STRESS,美东巴拿马压力场景,USEC,AMS_ENS,AMS/ENS,申报费,shipment,42.5,True,42.5,customs_manifest_by_lane,allocate_to_feu_by_shipment_container_count,C_market_reference,
USEC_PANAMA_STRESS,美东巴拿马压力场景,USEC,EIR,设备交接单费,,container,22.5,True,22.5,equipment_interchange_reference,allocate_to_feu_by_container_count,C_market_reference,
