date,ccfi_composite,japan_index,europe_index,mediterranean_index,us_west_index,us_east_index,source,source_url,data_quality_level,note,record_status,missing_reason,demo_ccfi_composite,demo_data_quality_level,demo_record_status,demo_notes
2026-02-06,1122.15,,,,,,batch03_04_public_excerpt,https://www.google.com/search?q=%222026%E5%B9%B42%E6%9C%886%E6%97%A5%22+CCFI+1122.15,B,由batch-03/04公开摘录补入,collected_public_excerpt,分航线值未补齐,1122.15,B,collected_or_suspended,演示补全版：缺失综合指数线性插值，仅用于流程展示。
2026-02-13,1088.14,,,,,,batch03_04_public_excerpt,https://www.google.com/search?q=%222026%E5%B9%B42%E6%9C%8813%E6%97%A5%22+CCFI+1088.14,B,由batch-03/04公开摘录补入,collected_public_excerpt,分航线值未补齐,1088.14,B,collected_or_suspended,演示补全版：缺失综合指数线性插值，仅用于流程展示。
2026-02-20,,,,,,,placeholder,https://www.sse.net.cn/index/singleIndex?indexType=ccfi,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,官方单期页/历史查询未能可靠返回该周可核验数值；保留占位，待逐周补采或人工截图,1102.702,C_demo_interpolated,demo_interpolated_not_for_formal_analysis,演示补全版：缺失综合指数线性插值，仅用于流程展示。
2026-02-27,,,,,,,placeholder,https://www.sse.net.cn/index/singleIndex?indexType=ccfi,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,官方单期页/历史查询未能可靠返回该周可核验数值；保留占位，待逐周补采或人工截图,1117.2640000000001,C_demo_interpolated,demo_interpolated_not_for_formal_analysis,演示补全版：缺失综合指数线性插值，仅用于流程展示。
2026-03-06,,,,,,,placeholder,https://www.sse.net.cn/index/singleIndex?indexType=ccfi,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,官方单期页/历史查询未能可靠返回该周可核验数值；保留占位，待逐周补采或人工截图,1131.826,C_demo_interpolated,demo_interpolated_not_for_formal_analysis,演示补全版：缺失综合指数线性插值，仅用于流程展示。
2026-03-13,,,,,,,placeholder,https://www.sse.net.cn/index/singleIndex?indexType=ccfi,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,官方单期页/历史查询未能可靠返回该周可核验数值；保留占位，待逐周补采或人工截图,1146.3880000000001,C_demo_interpolated,demo_interpolated_not_for_formal_analysis,演示补全版：缺失综合指数线性插值，仅用于流程展示。
2026-03-20,,,,,,,placeholder,https://www.sse.net.cn/index/singleIndex?indexType=ccfi,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,官方单期页/历史查询未能可靠返回该周可核验数值；保留占位，待逐周补采或人工截图,1160.95,C_demo_interpolated,demo_interpolated_not_for_formal_analysis,演示补全版：缺失综合指数线性插值，仅用于流程展示。
2026-03-27,,,,,,,placeholder,https://www.sse.net.cn/index/singleIndex?indexType=ccfi,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,官方单期页/历史查询未能可靠返回该周可核验数值；保留占位，待逐周补采或人工截图,1175.512,C_demo_interpolated,demo_interpolated_not_for_formal_analysis,演示补全版：缺失综合指数线性插值，仅用于流程展示。
2026-04-03,,,,,,,placeholder,https://www.sse.net.cn/index/singleIndex?indexType=ccfi,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,官方单期页/历史查询未能可靠返回该周可核验数值；保留占位，待逐周补采或人工截图,1190.074,C_demo_interpolated,demo_interpolated_not_for_formal_analysis,演示补全版：缺失综合指数线性插值，仅用于流程展示。
2026-04-10,,,,,,,placeholder,https://www.sse.net.cn/index/singleIndex?indexType=ccfi,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,官方单期页/历史查询未能可靠返回该周可核验数值；保留占位，待逐周补采或人工截图,1204.636,C_demo_interpolated,demo_interpolated_not_for_formal_analysis,演示补全版：缺失综合指数线性插值，仅用于流程展示。
2026-04-17,,,,,,,placeholder,https://www.sse.net.cn/index/singleIndex?indexType=ccfi,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,官方单期页/历史查询未能可靠返回该周可核验数值；保留占位，待逐周补采或人工截图,1219.198,C_demo_interpolated,demo_interpolated_not_for_formal_analysis,演示补全版：缺失综合指数线性插值，仅用于流程展示。
2026-04-24,1233.76,,,,,,batch-01 public excerpt,collection-drafts/batch-01/,B,公开摘录，存在约1234四舍五入差异,collected_public_or_saved_evidence,分航线值未补齐；仅综合指数可用,1233.76,B,collected_or_suspended,演示补全版：缺失综合指数线性插值，仅用于流程展示。
2026-05-01,1269.64,,,,,,batch-01 public excerpt,collection-drafts/batch-01/,B,五一假期窗口，发布日归属待复核,collected_public_or_saved_evidence,分航线值未补齐；仅综合指数可用,1269.64,B,collected_or_suspended,演示补全版：缺失综合指数线性插值，仅用于流程展示。
2026-05-08,,,,,,,placeholder,https://www.sse.net.cn/index/singleIndex?indexType=ccfi,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,官方单期页/历史查询未能可靠返回该周可核验数值；保留占位，待逐周补采或人工截图,1275.0500000000002,C_demo_interpolated,demo_interpolated_not_for_formal_analysis,演示补全版：缺失综合指数线性插值，仅用于流程展示。
2026-05-15,1280.46,960.73,1585.49,1985.41,984.19,1120.63,SSE saved/current page previous-period field + batch-01,collection-drafts/batch-01/; sse saved page previous period,A-/B+,修正疑似误填；官方页上期字段显示2026-05-15=1280.46，仍建议截图复核,collected_public_or_saved_evidence,分航线值未补齐；仅综合指数可用,1280.46,A-/B+,collected_or_suspended,演示补全版：缺失综合指数线性插值，仅用于流程展示。
2026-05-22,1317.36,960.73,1585.49,1985.41,984.19,1120.63,上海航运交易所单期查询,https://www.sse.net.cn/index/singleIndex?indexType=ccfi,A,单期公开查询逐周抓取,collected_official_or_near_official,,1317.36,A,collected_or_suspended,演示补全版：缺失综合指数线性插值，仅用于流程展示。
