date,europe_settlement_index,us_west_settlement_index,source,source_url,data_quality_level,note,record_status,missing_reason,demo_europe_settlement_index,demo_us_west_settlement_index,demo_data_quality_level,demo_record_status,demo_notes
2026-01-30,,,placeholder,,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,SCFIS为周一发布/轨迹页数据，当前日期未搜到可核验值；保留占位,1792.1866666666667,1248.1,C_demo_interpolated,demo_interpolated_not_for_formal_analysis,演示补全版：缺失SCFIS路线指数线性插值，仅用于流程展示。
2026-02-06,,,placeholder,,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,SCFIS为周一发布/轨迹页数据，当前日期未搜到可核验值；保留占位,1725.0633333333333,1201.88,C_demo_interpolated,demo_interpolated_not_for_formal_analysis,演示补全版：缺失SCFIS路线指数线性插值，仅用于流程展示。
2026-02-09,1657.94,1155.66,batch03_04_public_excerpt,https://www.google.com/search?q=%222026%E5%B9%B42%E6%9C%889%E6%97%A5%22+SCFIS+1657.94+1155.66,B,由batch-03/04公开摘录补入,collected_public_excerpt,,1657.94,1155.66,B,collected,演示补全版：缺失SCFIS路线指数线性插值，仅用于流程展示。
2026-02-13,,,placeholder,,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,SCFIS为周一发布/轨迹页数据，当前日期未搜到可核验值；保留占位,1654.653076923077,1197.3384615384616,C_demo_interpolated,demo_interpolated_not_for_formal_analysis,演示补全版：缺失SCFIS路线指数线性插值，仅用于流程展示。
2026-02-20,,,placeholder,,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,SCFIS为周一发布/轨迹页数据，当前日期未搜到可核验值；保留占位,1651.3661538461538,1239.0169230769231,C_demo_interpolated,demo_interpolated_not_for_formal_analysis,演示补全版：缺失SCFIS路线指数线性插值，仅用于流程展示。
2026-02-27,,,placeholder,,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,SCFIS为周一发布/轨迹页数据，当前日期未搜到可核验值；保留占位,1648.079230769231,1280.6953846153847,C_demo_interpolated,demo_interpolated_not_for_formal_analysis,演示补全版：缺失SCFIS路线指数线性插值，仅用于流程展示。
2026-03-06,,,placeholder,https://www.sse.net.cn/index/singleIndex?indexType=scfis,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,SCFIS为周一发布/轨迹页数据，当前日期未搜到可核验值；保留占位,1644.7923076923078,1322.3738461538462,C_demo_interpolated,demo_interpolated_not_for_formal_analysis,演示补全版：缺失SCFIS路线指数线性插值，仅用于流程展示。
2026-03-13,,,placeholder,https://www.sse.net.cn/index/singleIndex?indexType=scfis,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,SCFIS为周一发布/轨迹页数据，当前日期未搜到可核验值；保留占位,1641.5053846153846,1364.0523076923077,C_demo_interpolated,demo_interpolated_not_for_formal_analysis,演示补全版：缺失SCFIS路线指数线性插值，仅用于流程展示。
2026-03-20,,,placeholder,https://www.sse.net.cn/index/singleIndex?indexType=scfis,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,SCFIS为周一发布/轨迹页数据，当前日期未搜到可核验值；保留占位,1638.2184615384615,1405.7307692307693,C_demo_interpolated,demo_interpolated_not_for_formal_analysis,演示补全版：缺失SCFIS路线指数线性插值，仅用于流程展示。
2026-03-27,,,placeholder,https://www.sse.net.cn/index/singleIndex?indexType=scfis,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,SCFIS为周一发布/轨迹页数据，当前日期未搜到可核验值；保留占位,1634.9315384615386,1447.4092307692308,C_demo_interpolated,demo_interpolated_not_for_formal_analysis,演示补全版：缺失SCFIS路线指数线性插值，仅用于流程展示。
2026-04-03,,,placeholder,https://www.sse.net.cn/index/singleIndex?indexType=scfis,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,SCFIS为周一发布/轨迹页数据，当前日期未搜到可核验值；保留占位,1631.6446153846155,1489.0876923076924,C_demo_interpolated,demo_interpolated_not_for_formal_analysis,演示补全版：缺失SCFIS路线指数线性插值，仅用于流程展示。
2026-04-10,,,placeholder,https://www.sse.net.cn/index/singleIndex?indexType=scfis,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,SCFIS为周一发布/轨迹页数据，当前日期未搜到可核验值；保留占位,1628.3576923076923,1530.7661538461539,C_demo_interpolated,demo_interpolated_not_for_formal_analysis,演示补全版：缺失SCFIS路线指数线性插值，仅用于流程展示。
2026-04-17,,,placeholder,https://www.sse.net.cn/index/singleIndex?indexType=scfis,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,SCFIS为周一发布/轨迹页数据，当前日期未搜到可核验值；保留占位,1625.0707692307692,1572.4446153846154,C_demo_interpolated,demo_interpolated_not_for_formal_analysis,演示补全版：缺失SCFIS路线指数线性插值，仅用于流程展示。
2026-04-24,,,placeholder,https://www.sse.net.cn/index/singleIndex?indexType=scfis,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,SCFIS为周一发布/轨迹页数据，当前日期未搜到可核验值；保留占位,1621.7838461538463,1614.123076923077,C_demo_interpolated,demo_interpolated_not_for_formal_analysis,演示补全版：缺失SCFIS路线指数线性插值，仅用于流程展示。
2026-05-01,,,placeholder,https://www.sse.net.cn/index/singleIndex?indexType=scfis,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,SCFIS为周一发布/轨迹页数据，当前日期未搜到可核验值；保留占位,1618.4969230769232,1655.8015384615385,C_demo_interpolated,demo_interpolated_not_for_formal_analysis,演示补全版：缺失SCFIS路线指数线性插值，仅用于流程展示。
2026-05-04,1615.21,1697.48,上海航运交易所SCFIS轨迹页/公开检索摘要,https://www.sse.net.cn/index/scfisTrace,A,官方轨迹页公开值；需人工复核页面展示,partial_or_complete_collected,,1615.21,1697.48,A,collected,演示补全版：缺失SCFIS路线指数线性插值，仅用于流程展示。
2026-05-08,,,placeholder,https://www.sse.net.cn/index/singleIndex?indexType=scfis,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,SCFIS为周一发布/轨迹页数据，当前日期未搜到可核验值；保留占位,1654.04,1767.3899999999999,C_demo_interpolated,demo_interpolated_not_for_formal_analysis,演示补全版：缺失SCFIS路线指数线性插值，仅用于流程展示。
2026-05-11,1692.87,1837.3,上海航运交易所SCFIS轨迹页/公开检索摘要,https://www.sse.net.cn/index/scfisTrace,A,官方轨迹页公开值；需人工复核页面展示,partial_or_complete_collected,,1692.87,1837.3,A,collected,演示补全版：缺失SCFIS路线指数线性插值，仅用于流程展示。
2026-05-15,,,placeholder,https://www.sse.net.cn/index/singleIndex?indexType=scfis,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,SCFIS为周一发布/轨迹页数据，当前日期未搜到可核验值；保留占位,1701.15,1830.42,C_demo_interpolated,demo_interpolated_not_for_formal_analysis,演示补全版：缺失SCFIS路线指数线性插值，仅用于流程展示。
2026-05-18,1709.43,1823.54,上海航运交易所SCFIS轨迹页/公开检索摘要,https://www.sse.net.cn/index/scfisTrace,A-/B+(europe)/C(us_west_conflict),官方轨迹页公开值；需人工复核页面展示,partial_collected_conflict_pending,美西存在1823.54/1834.54冲突，待官方截图确认,1709.43,1823.54,A-/B+(europe)/C(us_west_conflict),collected,演示补全版：缺失SCFIS路线指数线性插值，仅用于流程展示。
2026-05-22,,,placeholder,https://www.sse.net.cn/index/singleIndex?indexType=scfis,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,SCFIS为周一发布/轨迹页数据，当前日期未搜到可核验值；保留占位,1786.585,1891.905,C_demo_interpolated,demo_interpolated_not_for_formal_analysis,演示补全版：缺失SCFIS路线指数线性插值，仅用于流程展示。
2026-05-25,1863.74,1960.27,上海航运交易所SCFIS轨迹页/公开检索摘要,https://www.sse.net.cn/index/scfisTrace,A,官方轨迹页公开值；需人工复核页面展示,partial_or_complete_collected,,1863.74,1960.27,A,collected,演示补全版：缺失SCFIS路线指数线性插值，仅用于流程展示。
