record_id,index_type,route_or_dimension,data_date,natural_week_start,displayed_value,value_unit,data_quality_level,record_status,confidence_note,usable_for_real_master
chart-scfis-2026-03-16-欧洲航线,SCFIS,欧洲航线,2026-03-16,2026-03-16,1556.49,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-scfis-2026-03-23-欧洲航线,SCFIS,欧洲航线,2026-03-23,2026-03-23,1693.26,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-scfis-2026-03-30-欧洲航线,SCFIS,欧洲航线,2026-03-30,2026-03-30,1752.54,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-scfis-2026-04-06-欧洲航线,SCFIS,欧洲航线,2026-04-06,2026-04-06,1772.11,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-scfis-2026-04-13-欧洲航线,SCFIS,欧洲航线,2026-04-13,2026-04-13,1728.17,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-scfis-2026-04-20-欧洲航线,SCFIS,欧洲航线,2026-04-20,2026-04-20,1610.42,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-scfis-2026-04-27-欧洲航线,SCFIS,欧洲航线,2026-04-27,2026-04-27,1567.2,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-scfis-2026-05-04-欧洲航线,SCFIS,欧洲航线,2026-05-04,2026-05-04,1615.21,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-scfis-2026-05-11-欧洲航线,SCFIS,欧洲航线,2026-05-11,2026-05-11,1692.87,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-scfis-2026-05-18-欧洲航线,SCFIS,欧洲航线,2026-05-18,2026-05-18,1709.43,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-scfis-2025-12-29-美西航线,SCFIS,美西航线,2025-12-29,2025-12-29,1301.41,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-scfis-2026-01-05-美西航线,SCFIS,美西航线,2026-01-05,2026-01-05,1250.12,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-scfis-2026-01-12-美西航线,SCFIS,美西航线,2026-01-12,2026-01-12,1323.98,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-scfis-2026-01-19-美西航线,SCFIS,美西航线,2026-01-19,2026-01-19,1305.27,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-scfis-2026-01-26-美西航线,SCFIS,美西航线,2026-01-26,2026-01-26,1294.32,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-scfis-2026-02-02-美西航线,SCFIS,美西航线,2026-02-02,2026-02-02,1101.4,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-scfis-2026-02-09-美西航线,SCFIS,美西航线,2026-02-09,2026-02-09,1155.66,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-scfis-2026-02-16-美西航线,SCFIS,美西航线,2026-02-16,2026-02-16,1131.74,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-scfis-2026-02-23-美西航线,SCFIS,美西航线,2026-02-23,2026-02-23,1112.01,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-scfis-2026-03-02-美西航线,SCFIS,美西航线,2026-03-02,2026-03-02,1045.08,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-scfis-2026-03-09-美西航线,SCFIS,美西航线,2026-03-09,2026-03-09,1121.22,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-scfis-2026-03-16-美西航线,SCFIS,美西航线,2026-03-16,2026-03-16,1109.11,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-scfis-2026-03-28-美西航线,SCFIS,美西航线,2026-03-28,2026-03-23,1024.11,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-scfis-2026-03-30-美西航线,SCFIS,美西航线,2026-03-30,2026-03-30,1263.4,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-scfis-2026-04-06-美西航线,SCFIS,美西航线,2026-04-06,2026-04-06,1442.76,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-scfis-2026-04-13-美西航线,SCFIS,美西航线,2026-04-13,2026-04-13,1600.18,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-scfis-2026-04-20-美西航线,SCFIS,美西航线,2026-04-20,2026-04-20,1707.19,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-scfis-2026-04-27-美西航线,SCFIS,美西航线,2026-04-27,2026-04-27,1680.89,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-scfis-2026-05-04-美西航线,SCFIS,美西航线,2026-05-04,2026-05-04,1697.48,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-scfis-2026-05-11-美西航线,SCFIS,美西航线,2026-05-11,2026-05-11,1887.3,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-scfis-2026-05-18-美西航线,SCFIS,美西航线,2026-05-18,2026-05-18,1823.54,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
